Record_Type,Original_Entry,Year,NA,NA,NA,NA,NA,NA,17/02,24/02,04/03,NA,18/03,25/03,01/04,NA,15/04,NA,NA,NA,NA,NA,27/05,03/06,10/06,17/06,NA,01/07,08/07,15/07,NA,NA,NA,NA,NA,NA,NA,NA,16/09,23/09,30/09,07/10,NA,NA,NA,04/11,11/11,18/11,25/11,02/12,09/12,NA,NA,NA,Notes
Species,Mistle Thrush,1995,NA,NA,NA,NA,NA,NA,F4,F,C,NA,C,C,U,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,NA,C,U,U,NA,NA,NA,NA,NA,NA,NA,NA,A,C,C,C,NA,NA,NA,F,F,F,F,C,C,NA,NA,NA,
Species,Whitethroat,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,O*,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Black Cap,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Chiff Chaff,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,U,F6,O,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Willow Warbler,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,4*,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,F,,,,NA,NA,NA,,,,,,,NA,NA,NA,"*""15th April"""
Species,Goldcrest,1995,NA,NA,NA,NA,NA,NA,C,C,C,NA,U,U,U,NA,NA,NA,NA,NA,NA,NA,C,U,U,U,NA,U,U,U,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,A,A,A,A,C,C,NA,NA,NA,
Species,Spotted Flycatcher,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Long-Tailed Tit,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,F7,,NA,NA,NA,,,,,,F6,NA,NA,NA,
Species,Coal Tit,1995,NA,NA,NA,NA,NA,NA,O,,,NA,,U,U,NA,NA,NA,NA,NA,NA,NA,,,U,U,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,U,,,,NA,NA,NA,U,U*,U,U,U,U,NA,NA,NA,
Species,Blue Tit,1995,NA,NA,NA,NA,NA,NA,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,NA,NA,NA,
Species,Great Tit,1995,NA,NA,NA,NA,NA,NA,U,C,C,NA,C,C,C,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,NA,,U,,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,A,A,A,C,C,C,NA,NA,NA,
Species,Tree Creeper,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Jay,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Magpie,1995,NA,NA,NA,NA,NA,NA,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,NA,NA,NA,
Species,Jackdaw,1995,NA,NA,NA,NA,NA,NA,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,NA,NA,NA,
Species,Rook,1995,NA,NA,NA,NA,NA,NA,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,NA,NA,NA,
Species,Hooded Crow,1995,NA,NA,NA,NA,NA,NA,F,F,F,NA,F,F,U,NA,NA,NA,NA,NA,NA,NA,U,U,U,U,NA,F,F,F,NA,NA,NA,NA,NA,NA,NA,NA,F,F,F,F,NA,NA,NA,C,U*,U,U,F,F,NA,NA,NA,
Species,Starling,1995,NA,NA,NA,NA,NA,NA,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,NA,NA,NA,
Species,House Sparrow,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,F,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Tree Sparrow,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Chaffinch,1995,NA,NA,NA,NA,NA,NA,A,A,A,NA,A,C,U,NA,NA,NA,NA,NA,NA,NA,F,F,F,F,NA,F,C,C,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,NA,NA,NA,C,C,C,C,A,A,NA,NA,NA,
Species,Brambling,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Greenfinch,1995,NA,NA,NA,NA,NA,NA,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,F,A,A,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,NA,NA,NA,C,A,A,A,A,A,NA,NA,NA,
Species,Goldfinch,1995,NA,NA,NA,NA,NA,NA,F5,F,U,NA,U,U,U,NA,NA,NA,NA,NA,NA,NA,U,U,U,U,NA,F,F,F,NA,NA,NA,NA,NA,NA,NA,NA,U,U,U,U,NA,NA,NA,F,F,F,F,U,U,NA,NA,NA,
Species,Siskin,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Linnet,1995,NA,NA,NA,NA,NA,NA,F100,F100,F,NA,F,C,F,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,U,,,,NA,NA,NA,U,,U,F,,,NA,NA,NA,
Species,Twite,1995,NA,NA,NA,NA,NA,NA,,,O,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Redpoll,1995,NA,NA,NA,NA,NA,NA,,,O,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Bullfinch,1995,NA,NA,NA,NA,NA,NA,,,,NA,,O,,NA,NA,NA,NA,NA,NA,NA,,4,,U,NA,,U,,NA,NA,NA,NA,NA,NA,NA,NA,F,,F,F,NA,NA,NA,U,U,O,,,,NA,NA,NA,
Species,Yellow Hammer,1995,NA,NA,NA,NA,NA,NA,3R,3R,2R,NA,2R,2R,2R,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,3,NA,NA,NA,
Species,Reed Bunting,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,C5,NA,F,F,,NA,NA,NA,NA,NA,NA,NA,NA,,U,,,NA,NA,NA,,,,,,,NA,NA,NA,
