Record_Type,Original_Entry,Year,07/01,14/01,21/01,28/01,04/02,11/02,18/02,25/02,04/03,11/03,18/03,25/03,01/04,08/04,15/04,22/04,29/04,06/05,13/05,20/05,27/05,03/06,10/06,17/06,24/06,01/07,08/07,15/07,22/07,29/07,NA,NA,NA,26/08,02/09,09/09,16/09,23/09,30/09,07/10,14/10,21/10,28/10,04/11,11/11,18/11,25/11,02/12,09/12,16/12,23/12,30/12,Notes
Species,Whinchat,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,O,,,,,,,,,,,,,
Species,Wheatear,1990,,,,,,,,,,,,,,O*,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,2,,,,U,,,,,,,,,,
Species,Redwing,1990,,2,C,F8,F,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,O*,,F3,O,O,
Species,Song Thrush,1990,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Mistle Thrush,1990,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,NA,NA,NA,F20,U,C,U,U,F,A,C,,F,O,U,F,F,F,F,F,F,F,
Species,Fieldfare,1990,,,F9,U,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Blackbird,1990,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Long-Tailed Tit,1990,,2x F10,C,,,,2,3,,,F6,F5,4,2,2,2,O,4,,,,F5,2,,,,,,,,NA,NA,NA,,,,,F6,,F7,,,F12,,3x F8,A,C,,F10,F6 F10,,,
Species,Blue Tit,1990,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Great Tit,1990,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Coal Tit,1990,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,O,O,U,F,F,,,U,F,U,A,A,NA,NA,NA,F,F,U,C,C,F,U,U,U,U,,C,C,F,U,,U,F,U,
Species,Tree Creeper,1990,,,O,,,,,O,2,,,,,,,,,U,,,,,O,,,,,,,,NA,NA,NA,,,,,O,,2,,,O,,,,,,,,,,
Species,House Sparrow,1990,,,,,,,,,F4,,,,2,,O,F,U,C,U,U,C,C,F,F,C,F,F,F,,,NA,NA,NA,,,,,,F,F,U,,,,,,,,,U,O,,
Species,Yellow Hammer,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Reed Bunting,1990,,,,,,,,,,2,,O,2,O,U,U,2R,2,,O,O,2R,U,U,2R,,,,,,NA,NA,NA,O,,,,,,O,,O,2,U,,U,O,O,,U,U,U,
Species,Siskin,1990,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,F3,,F3,,F,F,F,
Species,Goldfinch,1990,U,F,U,F,C,C,O,U,,U,A,A,A,C,C,C,C,F,F,C,F,C,U,F,F,C,C,A,A,C,NA,NA,NA,A,A,A,A,C,C,C,C,C,F,,C,O,U,U,F,F,F,F,
